epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.15454,2.34871,0.03846,0.78846,2.29929,2.142e-05,2.142e-05,2.142e-05
2,3.54329,2.31939,0.03846,0.78846,2.29589,4.94852e-05,4.94852e-05,4.94852e-05
3,4.54304,2.30393,0.03846,0.76923,2.28936,7.69849e-05,7.69849e-05,7.69849e-05
4,5.62326,2.16935,0.09615,0.76923,2.26904,0.000103919,0.000103919,0.000103919
5,6.47088,2.13652,0.59615,0.82692,2.25158,0.000130288,0.000130288,0.000130288
6,7.43497,2.12741,0.59615,0.82692,2.22941,0.000156091,0.000156091,0.000156091
7,8.41257,2.03699,0.59615,0.82692,2.17653,0.000181329,0.000181329,0.000181329
8,9.37224,2.0228,0.59615,0.82692,2.13278,0.000206001,0.000206001,0.000206001
9,10.3849,1.95688,0.59615,0.82692,2.06876,0.000230108,0.000230108,0.000230108
10,11.2977,1.95136,0.59615,0.82692,1.96412,0.000253649,0.000253649,0.000253649
11,12.1312,1.79454,0.59615,0.84615,1.87994,0.000276625,0.000276625,0.000276625
12,13.1612,1.72108,0.57692,0.84615,1.75557,0.000299035,0.000299035,0.000299035
13,14.1697,1.77243,0.57692,0.84615,1.69161,0.00032088,0.00032088,0.00032088
14,15.0528,1.70572,0.57692,0.88462,1.65427,0.00034216,0.00034216,0.00034216
15,15.9052,1.82063,0.59615,0.92308,1.49606,0.000362873,0.000362873,0.000362873
16,16.7712,1.5514,0.61538,0.94231,1.415,0.000383022,0.000383022,0.000383022
17,17.6436,1.62688,0.61538,0.94231,1.44816,0.000402605,0.000402605,0.000402605
18,18.591,1.44579,0.59615,0.92308,1.45074,0.000421622,0.000421622,0.000421622
19,19.4231,1.51798,0.59615,0.94231,1.45757,0.000440074,0.000440074,0.000440074
20,20.2543,1.72646,0.59615,0.94231,1.4282,0.00045796,0.00045796,0.00045796
21,21.0606,1.30552,0.57692,0.92308,1.32513,0.000475281,0.000475281,0.000475281
22,21.9149,1.32381,0.59615,0.92308,1.443,0.000492037,0.000492037,0.000492037
23,22.8437,1.60683,0.59615,0.94231,1.3234,0.000508227,0.000508227,0.000508227
24,23.7311,1.3551,0.61538,0.92308,1.345,0.000523851,0.000523851,0.000523851
25,24.6121,1.41273,0.61538,0.92308,1.2644,0.00053891,0.00053891,0.00053891
26,25.5111,1.3195,0.61538,0.94231,1.23537,0.000537285,0.000537285,0.000537285
27,26.3762,1.22412,0.59615,0.94231,1.40128,0.000530216,0.000530216,0.000530216
28,27.205,1.6001,0.59615,0.96154,1.38032,0.000523148,0.000523148,0.000523148
29,27.9936,1.41116,0.59615,0.94231,1.44647,0.000516079,0.000516079,0.000516079
30,28.8759,1.8691,0.59615,0.94231,1.26532,0.000509011,0.000509011,0.000509011
31,29.7829,1.28705,0.61538,0.98077,1.31275,0.000501942,0.000501942,0.000501942
32,30.7119,1.28763,0.61538,1,1.396,0.000494873,0.000494873,0.000494873
33,31.6622,1.37572,0.57692,1,1.63255,0.000487805,0.000487805,0.000487805
34,32.5336,1.20982,0.57692,1,1.55041,0.000480736,0.000480736,0.000480736
35,33.4204,1.19549,0.59615,1,1.43428,0.000473668,0.000473668,0.000473668
36,34.3116,1.14458,0.61538,1,1.24553,0.000466599,0.000466599,0.000466599
37,35.2375,1.40201,0.59615,0.98077,1.30665,0.00045953,0.00045953,0.00045953
38,36.1494,1.21543,0.59615,0.98077,1.23641,0.000452462,0.000452462,0.000452462
39,37.0978,1.37202,0.59615,0.98077,1.25793,0.000445393,0.000445393,0.000445393
40,37.8556,1.20878,0.59615,0.96154,1.37975,0.000438325,0.000438325,0.000438325
41,38.6355,1.09193,0.59615,0.96154,1.56709,0.000431256,0.000431256,0.000431256
42,39.623,1.20012,0.59615,0.96154,1.53376,0.000424187,0.000424187,0.000424187
43,40.4801,1.40221,0.57692,0.98077,1.62683,0.000417119,0.000417119,0.000417119
44,41.3329,1.27137,0.59615,0.96154,1.37885,0.00041005,0.00041005,0.00041005
45,42.2084,1.01973,0.61538,0.98077,1.37857,0.000402982,0.000402982,0.000402982
46,43.0217,1.06495,0.61538,0.98077,1.25042,0.000395913,0.000395913,0.000395913
47,43.9378,1.21432,0.63462,1,1.1579,0.000388844,0.000388844,0.000388844
48,44.9105,1.25932,0.67308,0.98077,1.13393,0.000381776,0.000381776,0.000381776
49,45.8323,1.12607,0.65385,0.98077,1.11448,0.000374707,0.000374707,0.000374707
50,46.7556,1.22079,0.63462,1,1.0629,0.000367639,0.000367639,0.000367639
51,47.7229,1.21162,0.65385,1,1.00455,0.00036057,0.00036057,0.00036057
52,48.5308,1.47074,0.67308,1,1.09437,0.000353501,0.000353501,0.000353501
53,49.4778,1.11672,0.65385,1,1.05364,0.000346433,0.000346433,0.000346433
54,50.3536,1.24469,0.67308,1,0.96289,0.000339364,0.000339364,0.000339364
55,51.3728,1.37936,0.69231,1,0.93775,0.000332296,0.000332296,0.000332296
56,52.3208,1.00822,0.67308,1,0.96387,0.000325227,0.000325227,0.000325227
57,53.2874,1.21014,0.67308,1,0.98812,0.000318158,0.000318158,0.000318158
58,54.2337,1.20969,0.67308,1,0.92932,0.00031109,0.00031109,0.00031109
59,55.0932,1.18851,0.69231,1,0.91972,0.000304021,0.000304021,0.000304021
60,56.0319,1.06263,0.65385,1,0.85212,0.000296953,0.000296953,0.000296953
61,57.0098,0.90584,0.69231,1,0.91672,0.000289884,0.000289884,0.000289884
62,57.9685,1.32196,0.69231,1,0.98528,0.000282815,0.000282815,0.000282815
63,58.7772,1.19057,0.69231,1,0.95562,0.000275747,0.000275747,0.000275747
64,59.6433,1.35439,0.67308,1,1.00933,0.000268678,0.000268678,0.000268678
65,60.5605,1.10855,0.65385,1,0.98202,0.00026161,0.00026161,0.00026161
66,61.4504,1.1854,0.71154,1,0.93323,0.000254541,0.000254541,0.000254541
67,62.3337,0.97631,0.69231,1,0.9878,0.000247472,0.000247472,0.000247472
68,63.2164,0.95723,0.69231,1,0.93718,0.000240404,0.000240404,0.000240404
69,64.0827,0.82637,0.69231,1,0.79107,0.000233335,0.000233335,0.000233335
70,64.9561,1.00243,0.71154,1,0.88764,0.000226267,0.000226267,0.000226267
71,65.8758,0.93368,0.71154,1,0.86776,0.000219198,0.000219198,0.000219198
72,66.7649,1.28068,0.71154,1,0.79417,0.000212129,0.000212129,0.000212129
73,67.5927,1.15235,0.69231,1,0.87765,0.000205061,0.000205061,0.000205061
74,68.5192,0.79986,0.71154,1,0.85004,0.000197992,0.000197992,0.000197992
75,69.3906,1.21439,0.73077,1,0.84293,0.000190924,0.000190924,0.000190924
76,70.3088,1.16443,0.69231,1,0.92805,0.000183855,0.000183855,0.000183855
77,71.2713,0.90861,0.71154,1,0.92705,0.000176786,0.000176786,0.000176786
78,72.1619,1.10696,0.73077,1,0.93059,0.000169718,0.000169718,0.000169718
79,72.9483,1.01146,0.73077,1,0.88075,0.000162649,0.000162649,0.000162649
80,73.8009,0.97786,0.73077,1,0.79421,0.000155581,0.000155581,0.000155581
81,74.6386,0.90488,0.73077,1,0.76677,0.000148512,0.000148512,0.000148512
82,75.3681,1.1945,0.75,1,0.92987,0.000141443,0.000141443,0.000141443
83,76.2383,1.07975,0.76923,1,0.83125,0.000134375,0.000134375,0.000134375
84,77.171,1.0247,0.76923,1,0.76251,0.000127306,0.000127306,0.000127306
85,78.1058,1.03401,0.76923,1,0.73164,0.000120238,0.000120238,0.000120238
86,79.0171,1.06177,0.76923,1,0.75347,0.000113169,0.000113169,0.000113169
87,79.8654,1.07529,0.76923,1,0.7855,0.0001061,0.0001061,0.0001061
88,80.6817,0.99683,0.76923,1,0.7165,9.90318e-05,9.90318e-05,9.90318e-05
89,81.6025,0.98843,0.75,1,0.72371,9.19632e-05,9.19632e-05,9.19632e-05
90,82.5781,0.94426,0.75,1,0.62018,8.48946e-05,8.48946e-05,8.48946e-05
91,83.3868,1.0407,0.75,1,0.62783,7.7826e-05,7.7826e-05,7.7826e-05
92,84.2876,1.01676,0.75,1,0.60458,7.07574e-05,7.07574e-05,7.07574e-05
93,85.1919,1.18789,0.75,1,0.62903,6.36888e-05,6.36888e-05,6.36888e-05
94,86.1134,0.83981,0.75,1,0.64283,5.66202e-05,5.66202e-05,5.66202e-05
95,86.9976,0.75417,0.75,1,0.61646,4.95516e-05,4.95516e-05,4.95516e-05
96,87.9641,0.91242,0.76923,1,0.62309,4.2483e-05,4.2483e-05,4.2483e-05
97,88.8817,1.22495,0.75,1,0.66738,3.54144e-05,3.54144e-05,3.54144e-05
98,89.8141,0.88988,0.76923,1,0.64025,2.83458e-05,2.83458e-05,2.83458e-05
99,90.7245,1.2319,0.75,1,0.64668,2.12772e-05,2.12772e-05,2.12772e-05
100,91.6881,0.98597,0.75,1,0.61826,1.42086e-05,1.42086e-05,1.42086e-05
